size,sparsity,build_index_time,get_at_rank_time,get_at_index_time,num_elem_at_time,size_bytes,overhead
125000,0.01,0.376278,0.00402,0.00177,0.00762,26196,24922
125000,0.05,0.371467,0.00391,0.00228,0.00757,31196,24922
125000,0.1,0.371717,0.00413,0.0032,0.00755,37446,24922
125000,0.2,0.377727,0.0044,0.00396,0.00763,49946,24922
187500,0.005,0.520666,0.00379,0.00154,0.00757,37522,36560
187500,0.01,0.523067,0.00395,0.00175,0.007599,38459,36560
187500,0.05,0.519827,0.00415,0.00254,0.00748,45959,36560
187500,0.1,0.521017,0.00411,0.00272,0.007549,55334,36560
187500,0.2,0.511406,0.0044,0.00483,0.00746,74084,36560
250000,0.005,0.686015,0.00381,0.00174,0.00767,49990,48716
250000,0.01,0.694035,0.00398,0.00177,0.00736,51240,48716
250000,0.05,0.691035,0.00453,0.00222,0.00753,61240,48716
250000,0.1,0.689835,0.00428,0.00307,0.00777,73740,48716
250000,0.2,0.695846,0.00447,0.00385,0.00768,98740,48716
312500,0.005,0.823425,0.00388,0.00153,0.00758,61312,59725
312500,0.01,0.823804,0.00401,0.00225,0.0076,62874,59725
312500,0.05,0.827384,0.00422,0.00244,0.00761,75374,59725
312500,0.1,0.827204,0.00417,0.00264,0.00782,90999,59725
312500,0.2,0.827515,0.00423,0.00433,0.007539,122249,59725
625000,0.005,1.54446,0.00408,0.001599,0.00769,120445,117296
625000,0.01,1.53433,0.004219,0.00195,0.00774,123570,117296
625000,0.05,1.5223,0.00429,0.00301,0.00767,148570,117296
625000,0.1,1.52197,0.00457,0.00369,0.00777,179820,117296
625000,0.2,1.54392,0.00732,0.00438,0.00816,242320,117296
937500,0.005,2.34743,0.00439,0.00175,0.00821,180595,175883
937500,0.01,2.30674,0.00421,0.00188,0.00763,185282,175883
937500,0.05,2.32838,0.00483,0.00257,0.00779,222782,175883
937500,0.1,2.29224,0.00471,0.00369,0.007839,269657,175883
937500,0.2,2.29025,0.00762,0.00425,0.00782,363407,175883
1250000,0.005,2.93772,0.00419,0.00205,0.00784,237038,230764
1250000,0.01,2.9587,0.004079,0.00178,0.0077,243288,230764
1250000,0.05,2.94752,0.00428,0.00191,0.00755,293288,230764
1250000,0.1,2.95806,0.0046,0.00303,0.0078,355788,230764
1250000,0.2,2.91522,0.00705,0.00374,0.00789,480788,230764
1562500,0.005,3.68212,0.00415,0.00187,0.00773,296275,288438
1562500,0.01,3.67115,0.0041,0.00238,0.00784,304087,288438
1562500,0.05,3.69132,0.00431,0.00221,0.00769,366587,288438
1562500,0.1,3.68139,0.00548,0.00315,0.0079,444712,288438
1562500,0.2,3.67427,0.00616,0.00536,0.00779,600962,288438
3125000,0.005,7.02849,0.00431,0.00164,0.008,583937,568288
3125000,0.01,6.7438,0.00454,0.00212,0.00783,599562,568288
3125000,0.05,6.80316,0.0052,0.00268,0.00801,724562,568288
3125000,0.1,6.81548,0.00701,0.0034,0.00773,880812,568288
3125000,0.2,6.77559,0.01618,0.00823,0.00888,1193312,568288
4687500,0.005,9.93706,0.00533,0.00199,0.00787,864277,840815
4687500,0.01,9.74772,0.005219,0.00214,0.00794,887714,840815
4687500,0.05,9.75659,0.00714,0.00299,0.008,1075214,840815
4687500,0.1,9.97113,0.01028,0.00352,0.00792,1309589,840815
4687500,0.2,9.93018,0.01057,0.0066,0.00782,1778339,840815
6250000,0.005,13.2221,0.00497,0.00203,0.00785,1152301,1121027
6250000,0.01,13.2617,0.00513,0.00179,0.00797,1183551,1121027
6250000,0.05,12.998,0.00727,0.0029,0.00798,1433551,1121027
6250000,0.1,13.3298,0.00984,0.003339,0.00799,1746051,1121027
6250000,0.2,12.9804,0.01843,0.00832,0.00944,2371051,1121027
