n,rank_time,select_time,overhead
100,0.00713,0.04249,126
500,0.00714,0.054919,504
2500,0.007,0.07284,1728
12500,0.00704,0.085329,7168
62500,0.00651,0.09701,39200
312500,0.00723,0.118079,164540
1562500,0.00778,0.130769,744240
7812500,0.00795,0.145749,3396870
39062500,0.00859,0.162869,15024100
195312500,0.01744,0.173989,69754720
976562500,0.028179,0.191259,325521000
4882812500,0.038279,0.214649,1766601046
24414062500,0.04027,0.237359,8250956658
